"Date","total_cases","theft_cases","burglary_cases","motor_vehicle_theft_cases","robbery_cases","arson_cases","deceptive_practice_cases","criminal_damage_cases","battery_cases","assault_cases","homicide_cases","kidnapping_cases","sex_offense_cases","crim_sexual_assault_cases","domestic_violence_cases","stalking_cases","intimidation_cases","narcotics_cases","public_peace_violation_cases","interference_cases","weapons_violation_cases","concealed_carry_cases","liquor_law_violation_cases","public_indecency_cases","other_offense_cases","prostitution_cases","children_cases","criminal_trespass_cases","gambling_cases","ritualism_cases","other_narcotic_cases","human_trafficking_cases","obscenity_cases","non_criminal_case"
"2001-01",38119,7867,1934,2097,1396,67,1398,3966,6527,2123,41,75,218,166,1,26,18,4714,161,36,337,0,101,0,2800,563,246,1192,44,2,1,0,2,0
"2001-02",33784,6669,1666,1785,1159,57,1162,3665,6041,2029,26,57,149,135,0,13,24,4369,173,27,301,0,109,1,2488,426,152,1063,37,0,0,0,1,0
"2001-03",40565,7766,1832,2151,1399,93,1313,4617,7662,2824,36,72,184,153,0,17,22,4862,267,22,345,0,147,0,2836,550,195,1141,55,2,0,0,2,0
"2001-04",40088,7702,1932,2119,1341,89,1199,4922,8328,2746,57,49,169,134,0,29,21,4044,229,34,321,0,164,1,2483,564,196,1133,79,1,0,0,2,0
"2001-05",41836,8420,1997,2197,1491,94,1259,4756,8887,2903,42,56,227,157,0,12,25,4038,239,41,390,1,194,1,2529,503,212,1067,94,1,2,0,1,0
"2001-06",41733,8612,2089,2278,1448,87,1231,4772,8758,2767,67,119,205,169,0,19,33,4034,228,43,349,0,143,1,2437,443,216,1087,97,0,0,0,1,0
"2001-07",44698,9448,2499,2569,1658,124,1186,5271,9113,3019,75,107,244,187,0,16,23,3897,213,32,336,0,164,0,2623,533,212,1046,99,0,2,0,2,0
"2001-08",44038,9609,2451,2341,1704,87,1284,5108,8368,3021,56,88,210,167,0,13,16,4237,215,36,351,0,133,2,2614,507,186,1122,109,1,0,0,2,0
"2001-09",41513,8775,2393,2514,1757,72,1188,4696,8012,2859,70,91,152,141,0,11,27,3667,374,41,370,0,131,1,2291,423,174,1176,104,0,1,0,2,0
"2001-10",43030,8999,2664,2899,1857,100,1285,5129,8011,2621,66,59,177,149,0,14,28,4017,313,21,429,0,123,1,2221,473,142,1142,89,0,0,0,1,0
"2001-11",39605,7943,2444,2379,1595,66,1181,4700,7100,2394,61,74,160,136,0,17,19,4350,174,47,413,0,132,1,2296,592,159,1092,77,0,0,0,3,0
"2001-12",36847,7467,2113,2223,1636,75,1257,4256,6653,2078,48,86,145,115,0,17,23,4338,164,26,335,0,96,0,2045,449,171,980,50,1,0,0,0,0
"2002-01",38417,7408,2095,2092,1471,93,1220,4221,6700,2262,43,72,156,172,0,12,26,4777,186,36,400,0,113,1,2809,602,284,1113,50,0,0,0,3,0
"2002-02",33906,6309,1562,1851,1139,90,1010,3761,5825,2010,30,57,133,121,0,19,13,4800,177,25,331,0,82,1,2724,539,151,1097,48,0,0,0,1,0
"2002-03",38585,7223,1721,2084,1301,86,1035,4461,7306,2426,39,73,168,135,0,15,27,4819,208,30,353,0,120,0,2946,500,204,1235,66,0,2,0,2,0
"2002-04",40036,7525,1843,2051,1373,82,1221,4796,7727,2559,42,73,171,152,0,17,34,4572,183,30,345,0,137,1,3000,612,200,1210,78,0,1,0,1,0
